numpy,cupy,dask,jax,pytorch,sparse
"numpy.polynomial.hermite_e.hermeint","","","","",""
"numpy.polynomial.hermite_e.hermeline","","","","",""
"numpy.polynomial.hermite_e.hermemul","","","","",""
"numpy.polynomial.hermite_e.hermemulx","","","","",""
"numpy.polynomial.hermite_e.hermepow","","","","",""
"numpy.polynomial.hermite_e.hermeroots","","","","",""
"numpy.polynomial.hermite_e.hermesub","","","","",""
"numpy.polynomial.hermite_e.hermetrim","","","","",""
"numpy.polynomial.hermite_e.hermeval","","","","",""
"numpy.polynomial.hermite_e.hermeval2d","","","","",""
"numpy.polynomial.hermite_e.hermeval3d","","","","",""
"numpy.polynomial.hermite_e.hermevander","","","","",""
"numpy.polynomial.hermite_e.hermevander2d","","","","",""
"numpy.polynomial.hermite_e.hermevander3d","","","","",""
"numpy.polynomial.hermite_e.hermeweight","","","","",""
"numpy.polynomial.hermite_e.poly2herme","","","","",""
"numpy.polynomial.laguerre.lag2poly","","","","",""
"numpy.polynomial.laguerre.lagadd","","","","",""
"numpy.polynomial.laguerre.lagcompanion","","","","",""
"numpy.polynomial.laguerre.lagder","","","","",""
"numpy.polynomial.laguerre.lagdiv","","","","",""
"numpy.polynomial.laguerre.lagfit","","","","",""
"numpy.polynomial.laguerre.lagfromroots","","","","",""
"numpy.polynomial.laguerre.laggauss","","","","",""
"numpy.polynomial.laguerre.laggrid2d","","","","",""
"numpy.polynomial.laguerre.laggrid3d","","","","",""
"numpy.polynomial.laguerre.lagint","","","","",""
"numpy.polynomial.laguerre.lagline","","","","",""
"numpy.polynomial.laguerre.lagmul","","","","",""
"numpy.polynomial.laguerre.lagmulx","","","","",""
"numpy.polynomial.laguerre.lagpow","","","","",""
"numpy.polynomial.laguerre.lagroots","","","","",""
"numpy.polynomial.laguerre.lagsub","","","","",""
"numpy.polynomial.laguerre.lagtrim","","","","",""
"numpy.polynomial.laguerre.lagval","","","","",""
"numpy.polynomial.laguerre.lagval2d","","","","",""
"numpy.polynomial.laguerre.lagval3d","","","","",""
"numpy.polynomial.laguerre.lagvander","","","","",""
"numpy.polynomial.laguerre.lagvander2d","","","","",""
"numpy.polynomial.laguerre.lagvander3d","","","","",""
"numpy.polynomial.laguerre.lagweight","","","","",""
"numpy.polynomial.laguerre.poly2lag","","","","",""
"numpy.polynomial.legendre.leg2poly","","","","",""
"numpy.polynomial.legendre.legadd","","","","",""
"numpy.polynomial.legendre.legcompanion","","","","",""
"numpy.polynomial.legendre.legder","","","","",""
"numpy.polynomial.legendre.legdiv","","","","",""
"numpy.polynomial.legendre.legfit","","","","",""
"numpy.polynomial.legendre.legfromroots","","","","",""
"numpy.polynomial.legendre.leggauss","","","","",""
"numpy.polynomial.legendre.leggrid2d","","","","",""
"numpy.polynomial.legendre.leggrid3d","","","","",""
"numpy.polynomial.legendre.legint","","","","",""
"numpy.polynomial.legendre.legline","","","","",""
"numpy.polynomial.legendre.legmul","","","","",""
"numpy.polynomial.legendre.legmulx","","","","",""
"numpy.polynomial.legendre.legpow","","","","",""
"numpy.polynomial.legendre.legroots","","","","",""
"numpy.polynomial.legendre.legsub","","","","",""
"numpy.polynomial.legendre.legtrim","","","","",""
"numpy.polynomial.legendre.legval","","","","",""
"numpy.polynomial.legendre.legval2d","","","","",""
"numpy.polynomial.legendre.legval3d","","","","",""
"numpy.polynomial.legendre.legvander","","","","",""
"numpy.polynomial.legendre.legvander2d","","","","",""
"numpy.polynomial.legendre.legvander3d","","","","",""
"numpy.polynomial.legendre.legweight","","","","",""
"numpy.polynomial.legendre.poly2leg","","","","",""
"numpy.polynomial.polynomial.polyadd","","","","",""
"numpy.polynomial.polynomial.polycompanion","","","","",""
"numpy.polynomial.polynomial.polyder","","","","",""
"numpy.polynomial.polynomial.polydiv","","","","",""
"numpy.polynomial.polynomial.polyfit","","","","",""
"numpy.polynomial.polynomial.polyfromroots","","","","",""
"numpy.polynomial.polynomial.polygrid2d","","","","",""
"numpy.polynomial.polynomial.polygrid3d","","","","",""
"numpy.polynomial.polynomial.polyint","","","","",""
"numpy.polynomial.polynomial.polyline","","","","",""
"numpy.polynomial.polynomial.polymul","","","","",""
"numpy.polynomial.polynomial.polymulx","","","","",""
"numpy.polynomial.polynomial.polypow","","","","",""
"numpy.polynomial.polynomial.polyroots","","","","",""
"numpy.polynomial.polynomial.polysub","","","","",""
"numpy.polynomial.polynomial.polytrim","","","","",""
"numpy.polynomial.polynomial.polyval","","","","",""
"numpy.polynomial.polynomial.polyval2d","","","","",""
"numpy.polynomial.polynomial.polyval3d","","","","",""
"numpy.polynomial.polynomial.polyvalfromroots","","","","",""
"numpy.polynomial.polynomial.polyvander","","","","",""
"numpy.polynomial.polynomial.polyvander2d","","","","",""
"numpy.polynomial.polynomial.polyvander3d","","","","",""
"numpy.polynomial.polyutils.as_series","","","","",""
"numpy.polynomial.polyutils.getdomain","","","","",""
"numpy.polynomial.polyutils.mapdomain","","","","",""
"numpy.polynomial.polyutils.mapparms","","","","",""
"numpy.polynomial.polyutils.trimcoef","","","","",""
"numpy.polynomial.polyutils.trimseq","","","","",""
"numpy.polysub","","","","",""
"numpy.polyval","","","polyval","",""
"numpy.positive","","","positive","",""
"numpy.power","cupy.power","","power","torch.pow",""
"numpy.ppmt","","","","",""
"numpy.printoptions","","","","",""
"numpy.prod","cupy.prod","prod","product","torch.prod",""
"numpy.promote_types","","","promote_types","torch.promote_types",""
"numpy.ptp","","ptp","ptp","",""
"numpy.put","cupy.put","","","",""
"numpy.put_along_axis","","","","",""
"numpy.putmask","","","","",""
"numpy.pv","","","","",""
"numpy.quantile","","","quantile","",""
"numpy.rad2deg","cupy.rad2deg","rad2deg","rad2deg","",""
"numpy.radians","cupy.radians","radians","radians","",""
"numpy.random.default_rng","","","","",""
"numpy.random.entropy.random_entropy","","","","",""
"numpy.rate","","","","",""
"numpy.ravel","cupy.ravel","ravel","ravel","",""
"numpy.ravel_multi_index","","","","",""
"numpy.real","cupy.real","real","real","torch.real",""
"numpy.real_if_close","","","","",""
"numpy.reciprocal","cupy.reciprocal","","reciprocal","",""
"numpy.remainder","cupy.remainder","","remainder","torch.remainder",""
"numpy.repeat","cupy.repeat","repeat","repeat","",""
"numpy.require","","","","",""
"numpy.reshape","cupy.reshape","reshape","reshape","torch.reshape",""
"numpy.resize","","","","",""
"numpy.result_type","cupy.result_type","result_type","result_type","torch.result_type","result_type"
"numpy.right_shift","cupy.right_shift","","right_shift","",""
"numpy.rint","cupy.rint","rint","rint","",""
"numpy.roll","cupy.roll","roll","roll","torch.roll","roll"
"numpy.rollaxis","cupy.rollaxis","rollaxis","rollaxis","",""
"numpy.roots","","","roots","",""
"numpy.rot90","cupy.rot90","","rot90","torch.rot90",""
"numpy.round_","cupy.round_","","round","torch.round",""
"numpy.save","cupy.save","","","",""
"numpy.savetxt","","","","",""
"numpy.savez","cupy.savez","","","",""
"numpy.savez_compressed","cupy.savez_compressed","","","",""
"numpy.sctype2char","","","","",""
"numpy.searchsorted","cupy.searchsorted","","","",""
"numpy.select","","","select","",""
"numpy.set_printoptions","","","","",""
"numpy.set_string_function","","","","",""
"numpy.setbufsize","","","","",""
"numpy.setdiff1d","","","","",""
"numpy.seterr","","","","",""
"numpy.seterrcall","","","","",""
"numpy.seterrobj","","","","",""
"numpy.setxor1d","","","","",""
"numpy.shares_memory","","","","",""
"numpy.sign","cupy.sign","sign","sign","torch.sign",""
"numpy.signbit","cupy.signbit","signbit","signbit","",""
"numpy.sin","cupy.sin","sin","sin","torch.sin",""
"numpy.sinc","cupy.sinc","","sinc","",""
"numpy.sinh","cupy.sinh","sinh","sinh","torch.sinh",""
"numpy.sort","cupy.sort","","sort","torch.sort",""
"numpy.sort_complex","","","","",""
"numpy.source","","","","",""
"numpy.spacing","","","","",""
"numpy.split","cupy.split","","split","torch.split",""
"numpy.sqrt","cupy.sqrt","sqrt","sqrt","torch.sqrt",""
"numpy.square","cupy.square","square","square","torch.square",""
"numpy.squeeze","cupy.squeeze","squeeze","squeeze","torch.squeeze",""
"numpy.stack","cupy.stack","stack","stack","torch.stack","stack"
"numpy.std","cupy.std","std","std","torch.std",""
"numpy.subtract","cupy.subtract","","subtract","",""
"numpy.sum","cupy.sum","sum","sum","torch.sum",""
"numpy.swapaxes","cupy.swapaxes","","swapaxes","",""
"numpy.take","cupy.take","take","take","torch.take",""
"numpy.take_along_axis","cupy.take_along_axis","","take_along_axis","",""
"numpy.tan","cupy.tan","tan","tan","torch.tan",""
"numpy.tanh","cupy.tanh","tanh","tanh","torch.tanh",""
"numpy.tensordot","cupy.tensordot","tensordot","tensordot","torch.tensordot","tensordot"
"numpy.tile","cupy.tile","tile","tile","",""
"numpy.trace","cupy.trace","trace","trace","torch.trace",""
"numpy.transpose","cupy.transpose","transpose","transpose","torch.transpose",""
"numpy.trapz","","","","torch.trapz",""
"numpy.tri","cupy.tri","","tri","",""
"numpy.tril","cupy.tril","tril","tril","torch.tril","tril"
"numpy.tril_indices","","","tril_indices","torch.tril_indices",""
"numpy.tril_indices_from","","","","",""
"numpy.trim_zeros","","","","",""
"numpy.triu","cupy.triu","triu","triu","torch.triu","triu"
"numpy.triu_indices","","","triu_indices","torch.triu_indices",""
"numpy.triu_indices_from","","","","",""
"numpy.true_divide","cupy.true_divide","","true_divide","torch.true_divide",""
"numpy.trunc","cupy.trunc","trunc","trunc","torch.trunc",""
"numpy.typename","","","","",""
"numpy.union1d","","","","",""
"numpy.unique","cupy.unique","unique","","torch.unique",""
"numpy.unpackbits","cupy.unpackbits","","unpackbits","",""
"numpy.unravel_index","cupy.unravel_index","unravel_index","","",""
"numpy.unwrap","cupy.unwrap","","","",""
"numpy.vander","","","vander","",""
"numpy.var","cupy.var","var","var","torch.var",""
"numpy.vdot","cupy.vdot","vdot","vdot","",""
"numpy.vsplit","cupy.vsplit","","vsplit","",""
"numpy.vstack","cupy.vstack","vstack","vstack","",""
"numpy.where","cupy.where","where","where","torch.where","where"
"numpy.zeros","cupy.zeros","zeros","zeros","torch.zeros","zeros"
"numpy.zeros_like","cupy.zeros_like","zeros_like","zeros_like","torch.zeros_like","zeros_like"
